station,valid,tmpc,relh,sped,p01m
JRB,2023-01-04 18:56,,,8.05,0.00
JRB,2023-01-04 19:56,,,5.75,0.00
JRB,2023-01-04 20:56,,,4.60,0.00
JRB,2023-01-04 21:56,,,4.60,T
JRB,2023-01-04 22:56,,,9.20,T
JRB,2023-01-04 23:45,,,4.60,0.25
JRB,2023-01-04 23:56,,,6.90,0.25
JRB,2023-01-05 00:56,,,8.05,0.00
JRB,2023-01-05 01:56,,,10.35,0.00
JRB,2023-01-05 02:22,,,10.35,0.00
JRB,2023-01-05 02:56,,,10.35,0.00
JRB,2023-01-05 03:40,,,13.80,0.00
JRB,2023-01-05 03:56,,,11.50,0.00
JRB,2023-01-05 04:23,,,10.35,0.00
JRB,2023-01-05 04:56,,,13.80,0.00
JRB,2023-01-05 05:16,,,13.80,0.00
JRB,2023-01-05 05:30,,,14.95,0.00
JRB,2023-01-05 05:48,,,10.35,0.00
JRB,2023-01-05 05:56,,,11.50,0.00
JRB,2023-01-05 06:56,,,10.35,0.00
JRB,2023-01-05 07:56,,,4.60,0.00
JRB,2023-01-05 08:56,,,10.35,0.00
JRB,2023-01-05 09:35,,,8.05,0.00
JRB,2023-01-05 09:56,,,5.75,0.00
JRB,2023-01-05 10:56,,,0.00,0.00
JRB,2023-01-05 11:56,,,8.05,0.00
JRB,2023-01-05 12:05,,,8.05,0.00
JRB,2023-01-05 12:21,,,9.20,0.00
JRB,2023-01-05 12:56,,,8.05,0.00
JRB,2023-01-05 13:21,,,8.05,0.00
JRB,2023-01-05 13:35,,,8.05,0.00
JRB,2023-01-05 13:48,,,6.90,0.00
JRB,2023-01-05 13:56,,,5.75,0.00
JRB,2023-01-05 14:06,,,5.75,0.00
JRB,2023-01-05 14:14,,,6.90,0.00
JRB,2023-01-05 14:31,,,8.05,0.00
JRB,2023-01-05 14:56,,,10.35,0.00
JRB,2023-01-05 15:24,,,10.35,0.00
JRB,2023-01-05 15:56,,,10.35,0.00
JRB,2023-01-05 16:56,,,10.35,0.00
JRB,2023-01-05 17:47,,,8.05,0.00
JRB,2023-01-05 17:56,,,8.05,0.00
JRB,2023-01-05 18:09,,,8.05,0.00
JRB,2023-01-05 18:37,,,9.20,0.00
JRB,2023-01-05 18:56,,,6.90,0.00
JRB,2023-01-05 19:56,,,9.20,0.00
JRB,2023-01-05 20:56,,,4.60,0.00
JRB,2023-01-05 21:56,,,6.90,0.00
JRB,2023-01-05 22:03,,,8.05,0.00
JRB,2023-01-05 22:12,,,8.05,0.00
JRB,2023-01-05 22:20,,,6.90,0.00
JRB,2023-01-05 22:56,,,5.75,0.00
JRB,2023-01-05 23:56,,,4.60,T
JRB,2023-01-06 00:43,,,0.00,T
JRB,2023-01-06 00:56,,,0.00,T
JRB,2023-01-06 01:56,,,0.00,0.00
JRB,2023-01-06 02:56,,,6.90,0.00
JRB,2023-01-06 03:56,,,9.20,0.00
JRB,2023-01-06 04:56,,,11.50,0.00
JRB,2023-01-06 05:56,,,5.75,T
JRB,2023-01-06 06:56,,,3.45,0.25
JRB,2023-01-06 07:24,,,4.60,1.27
JRB,2023-01-06 07:56,,,0.00,2.29
JRB,2023-01-06 08:07,,,0.00,0.76
JRB,2023-01-06 08:52,,,6.90,1.78
JRB,2023-01-06 08:56,,,6.90,1.78
JRB,2023-01-06 09:09,,,0.00,T
JRB,2023-01-06 09:21,,,0.00,T
JRB,2023-01-06 09:32,,,4.60,T
JRB,2023-01-06 09:41,,,3.45,T
JRB,2023-01-06 09:56,,,4.60,T
JRB,2023-01-06 10:22,,,8.05,0.00
JRB,2023-01-06 10:53,,,8.05,0.00
JRB,2023-01-06 10:56,,,8.05,0.00
JRB,2023-01-06 11:56,,,3.45,0.00
JRB,2023-01-06 12:56,,,3.45,T
JRB,2023-01-06 13:56,,,5.75,0.25
JRB,2023-01-06 14:44,,,0.00,0.00
JRB,2023-01-06 14:56,,,4.60,0.00
JRB,2023-01-06 15:56,,,5.75,T
JRB,2023-01-06 16:36,,,5.75,0.00
JRB,2023-01-06 17:43,,,5.75,0.25
JRB,2023-01-06 17:56,,,5.75,0.25
JRB,2023-01-06 18:21,,,4.60,0.00
JRB,2023-01-06 18:56,,,5.75,0.00
JRB,2023-01-06 19:38,,,6.90,0.25
JRB,2023-01-06 19:56,,,6.90,0.25
JRB,2023-01-06 20:56,,,11.50,0.00
JRB,2023-01-06 21:56,,,4.60,0.00
JRB,2023-01-06 22:24,,,5.75,0.00
JRB,2023-01-06 22:56,,,3.45,0.00
JRB,2023-01-06 23:56,,,3.45,0.00
JRB,2023-01-07 00:56,,,0.00,0.00
JRB,2023-01-07 01:56,,,5.75,0.00
JRB,2023-01-07 02:56,,,0.00,0.00
JRB,2023-01-07 03:56,,,5.75,0.00
JRB,2023-01-07 04:56,,,5.75,0.00
JRB,2023-01-07 05:56,,,9.20,0.00
JRB,2023-01-07 06:56,,,8.05,0.00
JRB,2023-01-07 07:56,,,8.05,0.00
JRB,2023-01-07 08:56,,,8.05,0.00
JRB,2023-01-07 09:56,,,6.90,0.00
JRB,2023-01-07 10:56,,,6.90,0.00
JRB,2023-01-07 11:56,,,6.90,0.00
JRB,2023-01-07 12:56,,,8.05,0.00
JRB,2023-01-07 13:56,,,8.05,0.00
JRB,2023-01-07 14:56,,,5.75,0.00
JRB,2023-01-07 15:56,,,6.90,0.00
JRB,2023-01-07 16:56,,,4.60,0.00
JRB,2023-01-07 17:56,,,3.45,0.00
JRB,2023-01-07 18:56,,,9.20,0.00
JRB,2023-01-07 19:56,,,0.00,0.00
JRB,2023-01-07 20:56,,,3.45,0.00
JRB,2023-01-07 21:56,,,6.90,0.00
JRB,2023-01-07 22:56,,,3.45,0.00
JRB,2023-01-07 23:56,,,5.75,0.00
JRB,2023-01-08 00:56,,,6.90,0.00
JRB,2023-01-08 01:56,,,4.60,0.00
JRB,2023-01-08 02:56,,,5.75,0.00
JRB,2023-01-08 03:56,,,3.45,0.00
JRB,2023-01-08 05:56,,,3.45,0.00
JRB,2023-01-08 06:56,,,0.00,0.00
JRB,2023-01-08 07:56,,,3.45,0.00
JRB,2023-01-08 08:56,,,5.75,0.00
